Title,description,price,Capacity,Grape,closure,country,Characteristics,type,ABV,region,style,vintage
Jack Rabbit Medium Sweet Red,"Jack Rabbit Medium Sweet Red (Brunello) is a refined red wine from USA, specifically the Oregon region. Produced from the 2012 vintage, it offers flavors of chocolate, spice, fruit and is best described as Ripe & Rounded. Alcohol content: 14.0%.",$47.33,0.75,Brunello,Natural Cork,USA,"chocolate, spice, fruit",Red,14.0%,Oregon,Ripe & Rounded,2012
Borgo San Leo Cabernet,"Borgo San Leo Cabernet (Zinfandel) is a refined red wine from South Africa, specifically the Constantia region. Produced from the 2021 vintage, it offers flavors of almond, berries, almond and is best described as Crisp & Zesty. Alcohol content: 14.0%.",$10.00,0.75,Zinfandel,Natural Cork,South Africa,"almond, berries, almond",Red,14.0%,Constantia,Crisp & Zesty,2021
Echo Falls White,"Echo Falls White (Gruner Veltliner) is a refined white wine from USA, specifically the Oregon region. Produced from the 1999 vintage, it offers flavors of plum, coffee, fruit and is best described as Smooth & Mellow. Alcohol content: 13.0%.",$59.00,0.75,Gruner Veltliner,Natural Cork,USA,"plum, coffee, fruit",White,13.0%,Oregon,Smooth & Mellow,1999
Latinium Pinot Noir-Dornfelder,"Latinium Pinot Noir-Dornfelder (Pinot Noir) is a refined red wine from Hungary, specifically the y region. Produced from the 2024 vintage, it offers flavors of mushrooms, minerals, propolis and is best described as Crisp & Fruity. Alcohol content: 14.0%.",$52.18,0.75,Pinot Noir,Natural Cork,Hungary,"mushrooms, minerals, propolis",Red,14.0%,y,Crisp & Fruity,2024
Maximo Rosado,"Maximo Rosado (Barbera) is a refined rose wine from New Zealand, specifically the Martinborough region. Produced from the 2003 vintage, it offers flavors of strawberry, raisin, tobacco and is best described as Ripe & Rounded. Alcohol content: 14.0%.",$35.03,0.75,Barbera,Natural Cork,New Zealand,"strawberry, raisin, tobacco",Rose,14.0%,Martinborough,Ripe & Rounded,2003
Borgo San Leo Montepulciano d’Abruzzo,"Borgo San Leo Montepulciano d’Abruzzo (Montepulciano) is a refined red wine from Austria, specifically the Vienna region. Produced from the 2008 vintage, it offers flavors of hay, mint, almond and is best described as Ripe & Rounded. Alcohol content: 14.0%.",$40.90,0.75,Montepulciano,Natural Cork,Austria,"hay, mint, almond",Red,14.0%,Vienna,Ripe & Rounded,2008
Borgo San Leo Sangiovese,"Borgo San Leo Sangiovese (Sangiovese) is a refined red wine from Argentina, specifically the San Juan region. Produced from the 2019 vintage, it offers flavors of pepper, spice, asparagus and is best described as Delicate & Dry. Alcohol content: 11.0%.",$6.00,0.75,Sangiovese,Natural Cork,Argentina,"pepper, spice, asparagus",Red,11.0%,San Juan,Delicate & Dry,2019
Chozas Carrascal Las Dosces Bayas Tinto,"Chozas Carrascal Las Dosces Bayas Tinto (Roussanne) is a refined red wine from Argentina, specifically the Mendoza region. Produced from the 2021 vintage, it offers flavors of mint, blueberry, raisin and is best described as Light & Refreshing. Alcohol content: 11.5%.",$42.08,0.75,Roussanne,Natural Cork,Argentina,"mint, blueberry, raisin",Red,11.5%,Mendoza,Light & Refreshing,2021
Borgo San Leo Nero d’Avola,"Borgo San Leo Nero d’Avola (Bardolino) is a refined red wine from England, specifically the Sussex region. Produced from the 2008 vintage, it offers flavors of passion fruit, berries, earth and is best described as Ripe & Fruity. Alcohol content: 11.5%.",$12.00,0.75,Bardolino,Natural Cork,England,"passion fruit, berries, earth",Red,11.5%,Sussex,Ripe & Fruity,2008
Gazela Vinho Verde,"Gazela Vinho Verde (Trebbiano) is a refined white wine from Spain, specifically the Catalunya region. Produced from the 2007 vintage, it offers flavors of clove, minerals, asparagus and is best described as Soft & Fruity. Alcohol content: 13.5%.",$22.00,0.75,Trebbiano,Natural Cork,Spain,"clove, minerals, asparagus",White,13.5%,Catalunya,Soft & Fruity,2007
Marques de Casa Chardonnay,"Marques de Casa Chardonnay (Chardonnay) is a refined white wine from Germany, specifically the e region. Produced from the 2014 vintage, it offers flavors of chocolate, earth, spice and is best described as Ripe & Rounded. Alcohol content: 13.5%.",$42.00,0.75,Chardonnay,Natural Cork,Germany,"chocolate, earth, spice",White,13.5%,e,Ripe & Rounded,2014
Maison Castel Bordeaux Blanc Sauvignon,"Maison Castel Bordeaux Blanc Sauvignon (Verdicchio) is a refined white wine from Chile, specifically the North region. Produced from the 2024 vintage, it offers flavors of nuts, nuts, tobacco and is best described as Aromatic & Floral. Alcohol content: 14.5%.",$11.18,0.75,Verdicchio,Natural Cork,Chile,"nuts, nuts, tobacco",White,14.5%,North,Aromatic & Floral,2024
Maison Castel Bordeaux Merlot,"Maison Castel Bordeaux Merlot (Merlot) is a refined red wine from England, specifically the Kent region. Produced from the 2002 vintage, it offers flavors of nuts, black fruit, mango and is best described as Delicate & Dry. Alcohol content: 14.0%.",$21.48,0.75,Merlot,Natural Cork,England,"nuts, black fruit, mango",Red,14.0%,Kent,Delicate & Dry,2002
Mora Vista Malbec,"Mora Vista Malbec (Malbec) is a refined red wine from Romania, specifically the m region. Produced from the 2002 vintage, it offers flavors of quince, earth, tobacco and is best described as Rich & Toasty. Alcohol content: 13.5%.",$58.00,0.75,Malbec,Natural Cork,Romania,"quince, earth, tobacco",Red,13.5%,m,Rich & Toasty,2002
Lazan Tinto,"Lazan Tinto (Malbec) is a refined red wine from Romania, specifically the a region. Produced from the 2015 vintage, it offers flavors of nuts, spice, wax and is best described as Delicate & Dry. Alcohol content: 11.5%.",$56.12,0.75,Malbec,Natural Cork,Romania,"nuts, spice, wax",Red,11.5%,a,Delicate & Dry,2015
Lazan Blanco,"Lazan Blanco (Vernaccia) is a refined white wine from Italy, specifically the Veneto region. Produced from the 2000 vintage, it offers flavors of fig, tobacco, spice and is best described as Light & Refreshing. Alcohol content: 13.0%.",$14.00,0.75,Vernaccia,Natural Cork,Italy,"fig, tobacco, spice",White,13.0%,Veneto,Light & Refreshing,2000
Lazan Rosado,"Lazan Rosado (Nero d'Avola) is a refined rose wine from Bulgaria, specifically the a region. Produced from the 2015 vintage, it offers flavors of oak, pepper, spice and is best described as Crisp & Zesty. Alcohol content: 13.5%.",$37.63,0.75,Nero d'Avola,Natural Cork,Bulgaria,"oak, pepper, spice",Rose,13.5%,a,Crisp & Zesty,2015
Mora Vista Torrontes,"Mora Vista Torrontes (Torrontes) is a refined white wine from Italy, specifically the Veneto region. Produced from the 1998 vintage, it offers flavors of oak, blueberry, flowers and is best described as Savoury & Full Bodied. Alcohol content: 13.5%.",$28.00,0.75,Torrontes,Natural Cork,Italy,"oak, blueberry, flowers",White,13.5%,Veneto,Savoury & Full Bodied,1998
Vega Real Ribera del Duero Roble,"Vega Real Ribera del Duero Roble (Aglianico) is a refined red wine from Greece, specifically the e region. Produced from the 2002 vintage, it offers flavors of chocolate, vanilla, coconut and is best described as Fresh & Elegant. Alcohol content: 13.5%.",$22.22,0.75,Aglianico,Natural Cork,Greece,"chocolate, vanilla, coconut",Red,13.5%,e,Fresh & Elegant,2002
Vega Real El Empecinado Crianza,"Vega Real El Empecinado Crianza (Marsala) is a refined red wine from France, specifically the Beaujolais region. Produced from the 2016 vintage, it offers flavors of chocolate, violet, nuts and is best described as Savoury & Full Bodied. Alcohol content: 14.5%.",$34.00,0.75,Marsala,Natural Cork,France,"chocolate, violet, nuts",Red,14.5%,Beaujolais,Savoury & Full Bodied,2016
Vega Real Rueda Verdejo,"Vega Real Rueda Verdejo (Verdejo) is a refined white wine from Serbia, specifically the S region. Produced from the 2012 vintage, it offers flavors of mango, flowers, nuts and is best described as Bold & Spicy. Alcohol content: 15.0%.",$50.00,0.75,Verdejo,Natural Cork,Serbia,"mango, flowers, nuts",White,15.0%,S,Bold & Spicy,2012
Hardys Stamp Chardonnay Semillon,"Hardys Stamp Chardonnay Semillon (Chardonnay) is a refined white wine from England, specifically the Hampshire region. Produced from the 2022 vintage, it offers flavors of mushrooms, grape, vanilla and is best described as Smooth & Light. Alcohol content: 14.0%.",$53.00,0.75,Chardonnay,Natural Cork,England,"mushrooms, grape, vanilla",White,14.0%,Hampshire,Smooth & Light,2022
Hardys Stamp Sauvignon Blanc Semillon,"Hardys Stamp Sauvignon Blanc Semillon (Sauvignon Blanc) is a refined white wine from Bulgaria, specifically the a region. Produced from the 2008 vintage, it offers flavors of raspberry, propolis, raspberry and is best described as Smooth & Light. Alcohol content: 11.0%.",$47.00,0.75,Sauvignon Blanc,Natural Cork,Bulgaria,"raspberry, propolis, raspberry",White,11.0%,a,Smooth & Light,2008
Blaissac Bordeaux Rose,"Blaissac Bordeaux Rose (Nero d'Avola) is a refined rose wine from Romania, specifically the a region. Produced from the 2020 vintage, it offers flavors of flowers, ginger, flowers and is best described as Smooth & Mellow. Alcohol content: 13.5%.",$10.00,0.75,Nero d'Avola,Natural Cork,Romania,"flowers, ginger, flowers",Rose,13.5%,a,Smooth & Mellow,2020
Maximo Tempranillo,"Maximo Tempranillo (Tempranillo) is a refined red wine from Germany, specifically the r region. Produced from the 2015 vintage, it offers flavors of pineapple, plum, green pepper and is best described as Aromatic & Floral. Alcohol content: 11.5%.",$34.00,0.75,Tempranillo,Natural Cork,Germany,"pineapple, plum, green pepper",Red,11.5%,r,Aromatic & Floral,2015
Maximo Viura,"Maximo Viura (Pinot Grigio) is a refined white wine from South Africa, specifically the Franschhoek region. Produced from the 2018 vintage, it offers flavors of honey, almond, spice and is best described as Bold & Spicy. Alcohol content: 14.0%.",$23.00,0.75,Pinot Grigio,Natural Cork,South Africa,"honey, almond, spice",White,14.0%,Franschhoek,Bold & Spicy,2018
Wave Bianco,"Wave Bianco (Soave) is a refined white wine from South Africa, specifically the Swartland region. Produced from the 1998 vintage, it offers flavors of spice, earth, blueberry and is best described as Smooth & Light. Alcohol content: 14.5%.",$49.00,0.75,Soave,Natural Cork,South Africa,"spice, earth, blueberry",White,14.5%,Swartland,Smooth & Light,1998
Sensi Collezione Montepulciano dAbruzzo,"Sensi Collezione Montepulciano dAbruzzo (Montepulciano) is a refined red wine from Spain, specifically the Galicia region. Produced from the 2006 vintage, it offers flavors of blackberry, date, black currant and is best described as Savoury & Full Bodied. Alcohol content: 14.0%.",$59.00,0.75,Montepulciano,Natural Cork,Spain,"blackberry, date, black currant",Red,14.0%,Galicia,Savoury & Full Bodied,2006
Martini Bianco,"Martini Bianco (Viognier) is a refined white wine from New Zealand, specifically the Martinborough region. Produced from the 2014 vintage, it offers flavors of clove, pepper, coconut and is best described as Savoury & Full Bodied. Alcohol content: 13.5%.",$51.37,0.5,Viognier,Natural Cork,New Zealand,"clove, pepper, coconut",White,13.5%,Martinborough,Savoury & Full Bodied,2014
Martini Rosso,"Martini Rosso (Port) is a refined red wine from Italy, specifically the Piedmont region. Produced from the 2010 vintage, it offers flavors of oak, flowers, spice and is best described as Smooth & Light. Alcohol content: 12.5%.",$14.00,0.5,Port,Natural Cork,Italy,"oak, flowers, spice",Red,12.5%,Piedmont,Smooth & Light,2010
Brave Italian Growers Bianco,"Brave Italian Growers Bianco (Frascati) is a refined white wine from Georgia, specifically the e region. Produced from the 2008 vintage, it offers flavors of red berries, earth, chocolate and is best described as Fresh & Elegant. Alcohol content: 14.0%.",$21.00,0.75,Frascati,Natural Cork,Georgia,"red berries, earth, chocolate",White,14.0%,e,Fresh & Elegant,2008
Brave Italian Growers Rosso,"Brave Italian Growers Rosso (Syrah) is a refined red wine from Spain, specifically the Galicia region. Produced from the 2018 vintage, it offers flavors of cinnamon, oak, ginger and is best described as Aromatic & Floral. Alcohol content: 15.0%.",$44.00,0.75,Syrah,Natural Cork,Spain,"cinnamon, oak, ginger",Red,15.0%,Galicia,Aromatic & Floral,2018
Chateau du Cedre Blandine Le Blanc,"Chateau du Cedre Blandine Le Blanc (Riesling) is a refined white wine from England, specifically the Sussex region. Produced from the 2007 vintage, it offers flavors of incense, black fruit, flowers and is best described as Bold & Spicy. Alcohol content: 13.0%.",$16.68,0.75,Riesling,Natural Cork,England,"incense, black fruit, flowers",White,13.0%,Sussex,Bold & Spicy,2007
Kumala Merlot,"Kumala Merlot (Merlot) is a refined red wine from England, specifically the Hampshire region. Produced from the 2024 vintage, it offers flavors of cherry, perfume, flint and is best described as Smooth & Light. Alcohol content: 12.5%.",$51.00,0.75,Merlot,Natural Cork,England,"cherry, perfume, flint",Red,12.5%,Hampshire,Smooth & Light,2024
Kumala Chardonnay,"Kumala Chardonnay (Chardonnay) is a refined white wine from Austria, specifically the Vienna region. Produced from the 2004 vintage, it offers flavors of leather, honey, red fruit and is best described as Bold & Spicy. Alcohol content: 14.0%.",$10.00,0.75,Chardonnay,Natural Cork,Austria,"leather, honey, red fruit",White,14.0%,Vienna,Bold & Spicy,2004
M. Chapoutier Luberon La Ciboise Blanc,"M. Chapoutier Luberon La Ciboise Blanc (Trebbiano) is a refined white wine from Slovenia, specifically the e region. Produced from the 2018 vintage, it offers flavors of tobacco, pineapple, oak and is best described as Aromatic & Floral. Alcohol content: 12.5%.",$49.64,0.75,Trebbiano,Natural Cork,Slovenia,"tobacco, pineapple, oak",White,12.5%,e,Aromatic & Floral,2018
Chateau Cavalier 360 de Cavalier Rose,"Chateau Cavalier 360 de Cavalier Rose (Cava) is a refined rose wine from Serbia, specifically the e region. Produced from the 2017 vintage, it offers flavors of oak, hazelnut, lemon zest and is best described as Rich & Juicy. Alcohol content: 14.5%.",$29.55,0.75,Cava,Natural Cork,Serbia,"oak, hazelnut, lemon zest",Rose,14.5%,e,Rich & Juicy,2017
Hardys Stamp Shiraz Cabernet,"Hardys Stamp Shiraz Cabernet (Petit Verdot) is a refined red wine from Hungary, specifically the a region. Produced from the 2011 vintage, it offers flavors of earth, citrus, vanilla and is best described as Light & Elegant. Alcohol content: 15.0%.",$55.52,0.75,Petit Verdot,Natural Cork,Hungary,"earth, citrus, vanilla",Red,15.0%,a,Light & Elegant,2011
Maison Castel Cotes du Rhone,"Maison Castel Cotes du Rhone (Bardolino) is a refined red wine from New Zealand, specifically the Central Otago region. Produced from the 2017 vintage, it offers flavors of raspberry, blackberry, red fruit and is best described as Bold & Spicy. Alcohol content: 13.5%.",$52.00,0.75,Bardolino,Natural Cork,New Zealand,"raspberry, blackberry, red fruit",Red,13.5%,Central Otago,Bold & Spicy,2017
Matayac Cahors Malbec,"Matayac Cahors Malbec (Malbec) is a refined red wine from South Africa, specifically the Robertson region. Produced from the 2006 vintage, it offers flavors of blueberry, violet, black currant and is best described as Smooth & Mellow. Alcohol content: 12.5%.",$46.00,0.75,Malbec,Natural Cork,South Africa,"blueberry, violet, black currant",Red,12.5%,Robertson,Smooth & Mellow,2006
Finca Las Moras Pinot Grigio,"Finca Las Moras Pinot Grigio (Sauvignon Blanc) is a refined white wine from Argentina, specifically the San Juan region. Produced from the 2004 vintage, it offers flavors of hazelnut, flowers, flowers and is best described as Light & Elegant. Alcohol content: 12.5%.",$28.00,0.75,Sauvignon Blanc,Natural Cork,Argentina,"hazelnut, flowers, flowers",White,12.5%,San Juan,Light & Elegant,2004
